"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","Global","0",2021-11-14,"Cumulative percent infected","2","Percent","43.9","39.9","46.9"
"31","Central Europe, eastern Europe, and central Asia","1",2021-11-14,"Cumulative percent infected","2","Percent","67.7","45.7","77.8"
"32","Central Asia","2",2021-11-14,"Cumulative percent infected","2","Percent","64.5","41.1","84.7"
"33","Armenia","3",2021-11-14,"Cumulative percent infected","2","Percent","81.4","55.7","90.3"
"34","Azerbaijan","3",2021-11-14,"Cumulative percent infected","2","Percent","77.4","42.3","90.9"
"35","Georgia","3",2021-11-14,"Cumulative percent infected","2","Percent","79.4","40.4","94.2"
"36","Kazakhstan","3",2021-11-14,"Cumulative percent infected","2","Percent","58.6","33.0","86.1"
"37","Kyrgyzstan","3",2021-11-14,"Cumulative percent infected","2","Percent","76.1","61.2","92.1"
"38","Mongolia","3",2021-11-14,"Cumulative percent infected","2","Percent","58.2","41.6","64.2"
"39","Tajikistan","3",2021-11-14,"Cumulative percent infected","2","Percent","69.9","50.1","84.7"
"40","Turkmenistan","3",2021-11-14,"Cumulative percent infected","2","Percent","70.0","50.3","84.7"
"41","Uzbekistan","3",2021-11-14,"Cumulative percent infected","2","Percent","56.8","21.7","82.8"
"42","Central Europe","2",2021-11-14,"Cumulative percent infected","2","Percent","59.5","44.3","72.7"
"43","Albania","3",2021-11-14,"Cumulative percent infected","2","Percent","86.9","64.0","92.7"
"44","Bosnia and Herzegovina","3",2021-11-14,"Cumulative percent infected","2","Percent","76.7","57.8","90.4"
"45","Bulgaria","3",2021-11-14,"Cumulative percent infected","2","Percent","74.3","44.8","89.6"
"46","Croatia","3",2021-11-14,"Cumulative percent infected","2","Percent","55.5","47.5","71.1"
"47","Czechia","3",2021-11-14,"Cumulative percent infected","2","Percent","70.1","51.6","81.5"
"48","Hungary","3",2021-11-14,"Cumulative percent infected","2","Percent","53.6","38.9","69.4"
"50","Montenegro","3",2021-11-14,"Cumulative percent infected","2","Percent","89.4","87.9","90.5"
"49","North Macedonia","3",2021-11-14,"Cumulative percent infected","2","Percent","84.2","64.0","91.6"
"51","Poland","3",2021-11-14,"Cumulative percent infected","2","Percent","50.6","26.1","71.9"
"52","Romania","3",2021-11-14,"Cumulative percent infected","2","Percent","62.1","44.0","80.9"
"53","Serbia","3",2021-11-14,"Cumulative percent infected","2","Percent","64.5","47.3","81.1"
"54","Slovakia","3",2021-11-14,"Cumulative percent infected","2","Percent","47.9","36.5","71.4"
"55","Slovenia","3",2021-11-14,"Cumulative percent infected","2","Percent","42.2","29.1","66.4"
"56","Eastern Europe","2",2021-11-14,"Cumulative percent infected","2","Percent","73.6","30.1","87.3"
"57","Belarus","3",2021-11-14,"Cumulative percent infected","2","Percent","59.4","25.7","90.6"
"58","Estonia","3",2021-11-14,"Cumulative percent infected","2","Percent","30.9","24.1","53.2"
"59","Latvia","3",2021-11-14,"Cumulative percent infected","2","Percent","49.8","26.7","83.1"
"60","Lithuania","3",2021-11-14,"Cumulative percent infected","2","Percent","61.1","37.2","82.6"
"61","Moldova","3",2021-11-14,"Cumulative percent infected","2","Percent","73.1","43.2","91.7"
"62","Russia","3",2021-11-14,"Cumulative percent infected","2","Percent","78.2","24.3","87.2"
"63","Ukraine","3",2021-11-14,"Cumulative percent infected","2","Percent","64.4","36.5","90.6"
"64","High income","1",2021-11-14,"Cumulative percent infected","2","Percent","21.3","20.1","22.5"
"70","Australasia","2",2021-11-14,"Cumulative percent infected","2","Percent","1.2","1.1","1.3"
"71","Australia","3",2021-11-14,"Cumulative percent infected","2","Percent","1.4","1.3","1.5"
"72","New Zealand","3",2021-11-14,"Cumulative percent infected","2","Percent","0.3","0.3","0.4"
"65","High-income Asia Pacific","2",2021-11-14,"Cumulative percent infected","2","Percent","4.2","3.5","5.0"
"66","Brunei","3",2021-11-14,"Cumulative percent infected","2","Percent","7.8","5.9","11.3"
"67","Japan","3",2021-11-14,"Cumulative percent infected","2","Percent","5.0","4.0","6.2"
"69","Singapore","3",2021-11-14,"Cumulative percent infected","2","Percent","7.1","6.2","8.7"
"68","South Korea","3",2021-11-14,"Cumulative percent infected","2","Percent","1.8","1.4","2.3"
"100","High-income North America","2",2021-11-14,"Cumulative percent infected","2","Percent","30.9","28.8","32.8"
"101","Canada","3",2021-11-14,"Cumulative percent infected","2","Percent","12.4","9.9","15.2"
"43858","Alberta","4",2021-11-14,"Cumulative percent infected","2","Percent","17.4","13.2","26.5"
"43859","British Columbia","4",2021-11-14,"Cumulative percent infected","2","Percent","14.1","9.9","18.8"
"43860","Manitoba","4",2021-11-14,"Cumulative percent infected","2","Percent","36.1","13.1","50.7"
"43861","New Brunswick","4",2021-11-14,"Cumulative percent infected","2","Percent","3.6","2.3","6.7"
"43862","Newfoundland and Labrador","4",2021-11-14,"Cumulative percent infected","2","Percent","1.6","1.0","2.6"
"43863","Northwest Territories","4",2021-11-14,"Cumulative percent infected","2","Percent","8.1","4.7","13.3"
"43864","Nova Scotia","4",2021-11-14,"Cumulative percent infected","2","Percent","2.5","1.8","3.6"
"43865","Nunavut","4",2021-11-14,"Cumulative percent infected","2","Percent","4.7","2.7","6.0"
"43866","Ontario","4",2021-11-14,"Cumulative percent infected","2","Percent","10.6","7.4","14.4"
"43868","Quebec","4",2021-11-14,"Cumulative percent infected","2","Percent","10.2","7.6","13.9"
"43869","Saskatchewan","4",2021-11-14,"Cumulative percent infected","2","Percent","17.5","12.1","25.1"
"43870","Yukon","4",2021-11-14,"Cumulative percent infected","2","Percent","6.2","1.7","16.1"
"102","USA","3",2021-11-14,"Cumulative percent infected","2","Percent","33.0","30.8","35.1"
"523","Alabama","4",2021-11-14,"Cumulative percent infected","2","Percent","39.3","32.7","45.3"
"524","Alaska","4",2021-11-14,"Cumulative percent infected","2","Percent","33.6","27.6","42.6"
"525","Arizona","4",2021-11-14,"Cumulative percent infected","2","Percent","33.8","27.0","40.8"
"526","Arkansas","4",2021-11-14,"Cumulative percent infected","2","Percent","34.1","26.2","40.5"
"527","California","4",2021-11-14,"Cumulative percent infected","2","Percent","26.7","22.0","32.3"
"528","Colorado","4",2021-11-14,"Cumulative percent infected","2","Percent","29.6","23.4","37.4"
"529","Connecticut","4",2021-11-14,"Cumulative percent infected","2","Percent","21.6","17.6","26.5"
"530","Delaware","4",2021-11-14,"Cumulative percent infected","2","Percent","26.6","22.2","32.3"
"531","Washington, DC","4",2021-11-14,"Cumulative percent infected","2","Percent","23.2","18.0","28.5"
"532","Florida","4",2021-11-14,"Cumulative percent infected","2","Percent","40.8","35.1","47.4"
"534","Hawaii","4",2021-11-14,"Cumulative percent infected","2","Percent","9.8","7.8","13.6"
"535","Idaho","4",2021-11-14,"Cumulative percent infected","2","Percent","41.7","32.0","54.0"
"536","Illinois","4",2021-11-14,"Cumulative percent infected","2","Percent","36.5","31.2","42.4"
"537","Indiana","4",2021-11-14,"Cumulative percent infected","2","Percent","30.6","23.5","39.1"
"538","Iowa","4",2021-11-14,"Cumulative percent infected","2","Percent","40.6","32.3","49.4"
"539","Kansas","4",2021-11-14,"Cumulative percent infected","2","Percent","33.3","26.0","41.9"
"540","Kentucky","4",2021-11-14,"Cumulative percent infected","2","Percent","35.9","29.0","44.9"
"541","Louisiana","4",2021-11-14,"Cumulative percent infected","2","Percent","35.9","29.1","41.4"
"542","Maine","4",2021-11-14,"Cumulative percent infected","2","Percent","15.0","11.5","21.9"
"543","Maryland","4",2021-11-14,"Cumulative percent infected","2","Percent","25.2","19.4","32.1"
"544","Massachusetts","4",2021-11-14,"Cumulative percent infected","2","Percent","20.8","18.2","25.8"
"545","Michigan","4",2021-11-14,"Cumulative percent infected","2","Percent","32.8","28.4","37.7"
"546","Minnesota","4",2021-11-14,"Cumulative percent infected","2","Percent","31.3","25.2","39.2"
"547","Mississippi","4",2021-11-14,"Cumulative percent infected","2","Percent","39.4","32.8","45.5"
"548","Missouri","4",2021-11-14,"Cumulative percent infected","2","Percent","35.0","28.9","43.2"
"549","Montana","4",2021-11-14,"Cumulative percent infected","2","Percent","36.9","27.3","48.4"
"550","Nebraska","4",2021-11-14,"Cumulative percent infected","2","Percent","40.6","31.5","48.2"
"551","Nevada","4",2021-11-14,"Cumulative percent infected","2","Percent","38.8","32.8","45.0"
"552","New Hampshire","4",2021-11-14,"Cumulative percent infected","2","Percent","18.7","15.3","24.0"
"553","New Jersey","4",2021-11-14,"Cumulative percent infected","2","Percent","33.7","28.2","39.1"
"554","New Mexico","4",2021-11-14,"Cumulative percent infected","2","Percent","29.3","23.8","35.9"
"555","New York","4",2021-11-14,"Cumulative percent infected","2","Percent","32.3","28.3","37.7"
"556","North Carolina","4",2021-11-14,"Cumulative percent infected","2","Percent","31.2","24.8","37.1"
"557","North Dakota","4",2021-11-14,"Cumulative percent infected","2","Percent","37.4","29.5","49.5"
"558","Ohio","4",2021-11-14,"Cumulative percent infected","2","Percent","39.9","31.3","48.5"
"559","Oklahoma","4",2021-11-14,"Cumulative percent infected","2","Percent","37.3","27.9","48.5"
"560","Oregon","4",2021-11-14,"Cumulative percent infected","2","Percent","19.6","13.1","29.1"
"561","Pennsylvania","4",2021-11-14,"Cumulative percent infected","2","Percent","29.7","24.6","36.3"
"562","Rhode Island","4",2021-11-14,"Cumulative percent infected","2","Percent","25.5","23.3","29.9"
"563","South Carolina","4",2021-11-14,"Cumulative percent infected","2","Percent","35.6","29.5","42.6"
"564","South Dakota","4",2021-11-14,"Cumulative percent infected","2","Percent","40.3","29.7","54.8"
"565","Tennessee","4",2021-11-14,"Cumulative percent infected","2","Percent","38.5","31.9","46.6"
"566","Texas","4",2021-11-14,"Cumulative percent infected","2","Percent","43.0","35.4","50.3"
"567","Utah","4",2021-11-14,"Cumulative percent infected","2","Percent","41.0","34.0","50.4"
"568","Vermont","4",2021-11-14,"Cumulative percent infected","2","Percent","11.4","9.7","16.2"
"569","Virginia","4",2021-11-14,"Cumulative percent infected","2","Percent","20.8","15.5","27.9"
"570","Washington","4",2021-11-14,"Cumulative percent infected","2","Percent","17.6","14.0","23.8"
"571","West Virginia","4",2021-11-14,"Cumulative percent infected","2","Percent","29.8","21.1","41.4"
"572","Wisconsin","4",2021-11-14,"Cumulative percent infected","2","Percent","37.2","29.9","45.3"
"573","Wyoming","4",2021-11-14,"Cumulative percent infected","2","Percent","44.0","31.8","61.1"
"96","Southern Latin America","2",2021-11-14,"Cumulative percent infected","2","Percent","25.1","19.2","34.0"
"97","Argentina","3",2021-11-14,"Cumulative percent infected","2","Percent","27.0","19.6","38.4"
"98","Chile","3",2021-11-14,"Cumulative percent infected","2","Percent","21.1","16.6","25.8"
"99","Uruguay","3",2021-11-14,"Cumulative percent infected","2","Percent","22.3","17.9","27.1"
"73","Western Europe","2",2021-11-14,"Cumulative percent infected","2","Percent","21.4","19.6","23.5"
"74","Andorra","3",2021-11-14,"Cumulative percent infected","2","Percent","46.4","32.7","59.1"
"75","Austria","3",2021-11-14,"Cumulative percent infected","2","Percent","22.2","18.9","28.7"
"76","Belgium","3",2021-11-14,"Cumulative percent infected","2","Percent","32.0","26.1","38.9"
"77","Cyprus","3",2021-11-14,"Cumulative percent infected","2","Percent","13.9","13.3","14.8"
"78","Denmark","3",2021-11-14,"Cumulative percent infected","2","Percent","13.5","11.9","15.9"
"79","Finland","3",2021-11-14,"Cumulative percent infected","2","Percent","8.6","7.3","10.5"
"80","France","3",2021-11-14,"Cumulative percent infected","2","Percent","23.3","18.1","33.8"
"81","Germany","3",2021-11-14,"Cumulative percent infected","2","Percent","14.4","12.9","16.0"
"60377","Baden-Württemberg","4",2021-11-14,"Cumulative percent infected","2","Percent","14.2","11.9","17.2"
"60378","Bavaria","4",2021-11-14,"Cumulative percent infected","2","Percent","16.5","13.4","19.9"
"60379","Berlin","4",2021-11-14,"Cumulative percent infected","2","Percent","15.9","13.9","17.9"
"60380","Brandenburg","4",2021-11-14,"Cumulative percent infected","2","Percent","14.8","12.8","16.8"
"60381","Bremen","4",2021-11-14,"Cumulative percent infected","2","Percent","12.9","11.3","15.2"
"60382","Hamburg","4",2021-11-14,"Cumulative percent infected","2","Percent","12.8","10.9","15.2"
"60383","Hesse","4",2021-11-14,"Cumulative percent infected","2","Percent","14.3","12.8","16.4"
"60384","Lower Saxony","4",2021-11-14,"Cumulative percent infected","2","Percent","9.3","7.4","10.6"
"60385","Mecklenburg-Vorpommern","4",2021-11-14,"Cumulative percent infected","2","Percent","10.2","8.9","12.1"
"60386","North Rhine-Westphalia","4",2021-11-14,"Cumulative percent infected","2","Percent","14.9","13.4","16.8"
"60387","Rhineland-Palatinate","4",2021-11-14,"Cumulative percent infected","2","Percent","11.0","9.0","13.6"
"60388","Saarland","4",2021-11-14,"Cumulative percent infected","2","Percent","12.1","10.3","14.4"
"60390","Saxony","4",2021-11-14,"Cumulative percent infected","2","Percent","22.6","18.4","26.5"
"60389","Saxony-Anhalt","4",2021-11-14,"Cumulative percent infected","2","Percent","14.4","12.8","16.4"
"60391","Schleswig-Holstein","4",2021-11-14,"Cumulative percent infected","2","Percent","7.4","6.3","8.7"
"60392","Thuringia","4",2021-11-14,"Cumulative percent infected","2","Percent","19.2","16.8","22.5"
"82","Greece","3",2021-11-14,"Cumulative percent infected","2","Percent","15.2","13.6","16.9"
"83","Iceland","3",2021-11-14,"Cumulative percent infected","2","Percent","7.9","7.0","9.4"
"84","Ireland","3",2021-11-14,"Cumulative percent infected","2","Percent","22.3","17.1","31.1"
"85","Israel","3",2021-11-14,"Cumulative percent infected","2","Percent","24.3","21.8","27.7"
"86","Italy","3",2021-11-14,"Cumulative percent infected","2","Percent","19.6","15.4","28.6"
"35507","Abruzzo","4",2021-11-14,"Cumulative percent infected","2","Percent","14.9","11.4","26.8"
"35511","Basilicata","4",2021-11-14,"Cumulative percent infected","2","Percent","13.9","10.1","21.2"
"35512","Calabria","4",2021-11-14,"Cumulative percent infected","2","Percent","17.2","12.4","27.1"
"35509","Campania","4",2021-11-14,"Cumulative percent infected","2","Percent","17.3","12.6","27.6"
"35502","Emilia-Romagna","4",2021-11-14,"Cumulative percent infected","2","Percent","20.8","16.4","30.6"
"35501","Friuli-Venezia Giulia","4",2021-11-14,"Cumulative percent infected","2","Percent","19.4","14.8","37.3"
"35506","Lazio","4",2021-11-14,"Cumulative percent infected","2","Percent","14.6","10.2","27.7"
"35496","Liguria","4",2021-11-14,"Cumulative percent infected","2","Percent","18.3","13.1","27.0"
"35497","Lombardia","4",2021-11-14,"Cumulative percent infected","2","Percent","26.3","20.1","37.6"
"35505","Marche","4",2021-11-14,"Cumulative percent infected","2","Percent","21.0","16.2","31.4"
"35508","Molise","4",2021-11-14,"Cumulative percent infected","2","Percent","16.9","10.7","27.1"
"35494","Piemonte","4",2021-11-14,"Cumulative percent infected","2","Percent","22.4","15.3","38.6"
"35498","Prov. autonoma di Bolzano","4",2021-11-14,"Cumulative percent infected","2","Percent","29.7","22.9","50.7"
"35499","Prov. autonoma di Trento","4",2021-11-14,"Cumulative percent infected","2","Percent","20.4","15.3","32.7"
"35510","Puglia","4",2021-11-14,"Cumulative percent infected","2","Percent","19.9","13.8","30.6"
"35514","Sardegna","4",2021-11-14,"Cumulative percent infected","2","Percent","12.9","9.5","20.1"
"35513","Sicilia","4",2021-11-14,"Cumulative percent infected","2","Percent","16.6","11.6","25.6"
"35503","Toscana","4",2021-11-14,"Cumulative percent infected","2","Percent","17.3","12.7","30.9"
"35504","Umbria","4",2021-11-14,"Cumulative percent infected","2","Percent","15.5","11.5","25.1"
"35495","Valle d'Aosta","4",2021-11-14,"Cumulative percent infected","2","Percent","25.7","19.3","41.5"
"35500","Veneto","4",2021-11-14,"Cumulative percent infected","2","Percent","20.0","15.1","37.6"
"87","Luxembourg","3",2021-11-14,"Cumulative percent infected","2","Percent","24.1","21.2","29.1"
"88","Malta","3",2021-11-14,"Cumulative percent infected","2","Percent","14.9","13.0","17.5"
"367","Monaco","3",2021-11-14,"Cumulative percent infected","2","Percent","12.8","11.2","14.4"
"89","Netherlands","3",2021-11-14,"Cumulative percent infected","2","Percent","27.1","23.2","36.9"
"90","Norway","3",2021-11-14,"Cumulative percent infected","2","Percent","11.2","6.6","28.9"
"91","Portugal","3",2021-11-14,"Cumulative percent infected","2","Percent","21.9","17.5","28.2"
"396","San Marino","3",2021-11-14,"Cumulative percent infected","2","Percent","40.7","32.2","47.7"
"92","Spain","3",2021-11-14,"Cumulative percent infected","2","Percent","24.9","22.0","30.0"
"60357","Andalusia","4",2021-11-14,"Cumulative percent infected","2","Percent","25.6","18.6","49.1"
"60358","Aragon","4",2021-11-14,"Cumulative percent infected","2","Percent","28.8","23.3","36.4"
"60365","Asturias","4",2021-11-14,"Cumulative percent infected","2","Percent","17.3","12.6","29.4"
"60363","Balearic Islands","4",2021-11-14,"Cumulative percent infected","2","Percent","18.8","13.0","32.6"
"60374","Basque region","4",2021-11-14,"Cumulative percent infected","2","Percent","21.6","19.5","24.6"
"60364","Canary Islands","4",2021-11-14,"Cumulative percent infected","2","Percent","18.1","11.2","36.4"
"60359","Cantabria","4",2021-11-14,"Cumulative percent infected","2","Percent","18.1","13.9","26.8"
"60367","Castile and León","4",2021-11-14,"Cumulative percent infected","2","Percent","27.0","24.3","33.6"
"60360","Castilla–La Mancha","4",2021-11-14,"Cumulative percent infected","2","Percent","27.3","23.0","35.9"
"60368","Catalonia","4",2021-11-14,"Cumulative percent infected","2","Percent","29.0","22.9","39.1"
"60369","Ceuta","4",2021-11-14,"Cumulative percent infected","2","Percent","18.3","14.4","24.0"
"60361","Community of Madrid","4",2021-11-14,"Cumulative percent infected","2","Percent","34.0","28.7","41.4"
"60362","Extremadura","4",2021-11-14,"Cumulative percent infected","2","Percent","20.1","16.0","30.6"
"60372","Galicia","4",2021-11-14,"Cumulative percent infected","2","Percent","12.5","10.6","15.2"
"60376","La Rioja","4",2021-11-14,"Cumulative percent infected","2","Percent","21.0","18.6","27.5"
"60373","Melilla","4",2021-11-14,"Cumulative percent infected","2","Percent","39.8","21.8","72.7"
"60366","Murcia","4",2021-11-14,"Cumulative percent infected","2","Percent","18.6","14.2","32.8"
"60370","Navarre","4",2021-11-14,"Cumulative percent infected","2","Percent","30.2","27.3","36.1"
"60371","Valencian Community","4",2021-11-14,"Cumulative percent infected","2","Percent","20.0","16.6","24.5"
"93","Sweden","3",2021-11-14,"Cumulative percent infected","2","Percent","22.4","19.2","27.0"
"94","Switzerland","3",2021-11-14,"Cumulative percent infected","2","Percent","19.7","16.7","24.4"
"95","UK","3",2021-11-14,"Cumulative percent infected","2","Percent","27.7","26.1","29.5"
"4749","England","4",2021-11-14,"Cumulative percent infected","2","Percent","28.3","26.4","30.4"
"433","Northern Ireland","4",2021-11-14,"Cumulative percent infected","2","Percent","23.6","21.0","28.5"
"434","Scotland","4",2021-11-14,"Cumulative percent infected","2","Percent","25.0","22.8","27.5"
"4636","Wales","4",2021-11-14,"Cumulative percent infected","2","Percent","24.7","22.0","30.1"
"103","Latin America and Caribbean","1",2021-11-14,"Cumulative percent infected","2","Percent","57.4","51.7","63.1"
"120","Andean Latin America","2",2021-11-14,"Cumulative percent infected","2","Percent","69.0","52.9","83.1"
"121","Bolivia","3",2021-11-14,"Cumulative percent infected","2","Percent","85.8","69.1","91.0"
"122","Ecuador","3",2021-11-14,"Cumulative percent infected","2","Percent","70.2","53.5","83.8"
"123","Peru","3",2021-11-14,"Cumulative percent infected","2","Percent","62.3","44.5","80.9"
"104","Caribbean","2",2021-11-14,"Cumulative percent infected","2","Percent","25.0","13.5","35.2"
"105","Antigua and Barbuda","3",2021-11-14,"Cumulative percent infected","2","Percent","16.9","9.1","26.3"
"106","The Bahamas","3",2021-11-14,"Cumulative percent infected","2","Percent","29.5","15.0","44.8"
"107","Barbados","3",2021-11-14,"Cumulative percent infected","2","Percent","15.4","11.1","20.5"
"108","Belize","3",2021-11-14,"Cumulative percent infected","2","Percent","38.6","17.6","62.5"
"305","Bermuda","3",2021-11-14,"Cumulative percent infected","2","Percent","12.1","10.2","16.3"
"109","Cuba","3",2021-11-14,"Cumulative percent infected","2","Percent","17.9","13.2","25.4"
"110","Dominica","3",2021-11-14,"Cumulative percent infected","2","Percent","18.1","11.6","28.6"
"111","Dominican Republic","3",2021-11-14,"Cumulative percent infected","2","Percent","33.3","14.0","50.6"
"112","Grenada","3",2021-11-14,"Cumulative percent infected","2","Percent","23.0","10.4","35.2"
"113","Guyana","3",2021-11-14,"Cumulative percent infected","2","Percent","42.7","18.0","69.9"
